ID,PP,V,I,M,C,T,G,S,P
CEP10,"회의 준비로 발표 자료를 오래 보며 클릭/스크롤을 반복하는데, 불편함 때문에 집중이 떨어져 '더 편한 입력이 필요하다'고 느낄 때",7100,100,50,0,50,양호,최우선 기회,1
CEP7,버티컬 마우스를 처음 써서 손목 각도가 낯설고 몇 분만 써도 어색할 때 '내가 적응 못하면 어쩌지' 하고 다시 찾아볼 때,4944,69.6,20,25,45,부족,최우선 기회,1
CEP2,일반 마우스를 쓰는데도 손목에 뻐근함이 생겨 '버티컬로 바꾸면 나아질까?' 하고 바로 비교 검색을 시작할 때,6893,97.1,40,50,90,탁월,핵심 경쟁,2
CEP9,주말 내내 게임/웹브라우징을 길게 해서 다음 날 아침부터 손목이 뻐근한 상태가 되자마자 '다음 주는 바꿔야지' 생각할 때,825,11.6,30,25,55,양호,니치 강점,3
CEP8,손목 통증뿐 아니라 클릭 동작 후 드래그할 때도 불편함이 같이 생겨 다른 해결책을 급히 찾는 순간,1658,23.4,10,25,35,부족,미개척,4
CEP5,노트북만 들고 카페/도서관을 전전하는데 터치패드로는 손목이 더 불편해져서 외장 마우스를 찾는 날,1620,22.8,30,0,30,부족,미개척,4
CEP4,디자인 툴에서 미세 드래그/정밀 조작이 잦아 '버티컬 쓰면 정확도가 떨어질까?' 걱정되며 구매 전 확인할 때,1512,21.3,30,0,30,부족,미개척,4
CEP3,"도서관이나 조용한 사무실에서 클릭 소리가 신경 쓰여 집중이 자꾸 깨지는 날, 손목도 불편해서 함께 해결하려고 할 때",2360,33.2,0,0,0,미흡,미개척,4
CEP1,퇴근 후 몇 시간씩 코딩/문서 편집을 하다 보니 마우스 움직일 때 손목이 뻐근해져서 '이대로는 안 되겠다' 싶을 때,420,5.9,30,0,30,부족,미개척,4
CEP6,"집 데스크톱, 회사 노트북, 태블릿을 번갈아 쓰는데 마우스 연결 전환이 귀찮아질 때",456,6.4,30,0,30,미흡,미개척,4
